roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type,origin,tasting_notes,process
Handcrafted,Salawara Frozen Cherry,850,₹,,https://www.cafehandcrafted.com/product-page/salawara-frozen-cherry,"https://static.wixstatic.com/media/f620c7_bc3f41a1cbb74d29ab4605c8743f251b~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Medium Flavour Notes: Plums,,"Plums, Green Apples Aromas: Aged Wine, Raw Honey, Toasted Nuts ABOUT US SHOP THE TEAM BLOG TERMS OF USE THE HANDCRAFTED PROMISE We at Handcrafted have",Yeast Fermented Natural Roast: Medium Flavour Notes: Plums
Handcrafted,Ratnagiri Estate | Yeast Natural,750,₹,"This one of a kind Yeast fermented and naturally dried lot from Ratnagiri Estate has an absolute flavour blast with a pleasantly lingering nutty taste with a hint of caramel like sweetness. The fruity aromas make it a very pleasant drink to have. Not to mention, all iced brews made with this are a superhit!",https://www.cafehandcrafted.com/product-page/ratnagiri-estate-yeast-natural,"https://static.wixstatic.com/media/f620c7_ecb18c1e18c941519b1213e99998927d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Light-Medium Flavour Notes: Apricot,,"Apricot, Caramel, Nut Butter Aromas: Grapes, Orange Peel ABOUT US SHOP THE TEAM BLOG TERMS OF USE THE HANDCRAFTED PROMISE We at Handcrafted have alway",
Handcrafted,Cold Brew Blend,750,₹,We made a blend so that your cold brew has just the right punch of flavours with that bold and rich mouthfeel!,https://www.cafehandcrafted.com/product-page/cold-brew-blend,"https://static.wixstatic.com/media/f620c7_6aca9f8606a24215a6676490b349f4f7~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,,,,
Handcrafted,Liquid Luck,750,₹,Perfect for Espresso! Liquid Luck is our exclusive blend of distinct flavour &amp; aroma notes.,https://www.cafehandcrafted.com/product-page/liquid-luck,"https://static.wixstatic.com/media/f620c7_ecb18c1e18c941519b1213e99998927d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Medium Dark Flavour Notes: Fruity,,"Fruity, Chocolate ABOUT US SHOP THE TEAM BLOG TERMS OF USE THE HANDCRAFTED PROMISE We at Handcrafted have always worked towards serving the finest pos",
Handcrafted,Salawara Anaerobic Naturals,650,₹,,https://www.cafehandcrafted.com/product-page/salawara-estate,"https://static.wixstatic.com/media/f620c7_ecb18c1e18c941519b1213e99998927d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Medium Flavour Notes: Plums,,"Plums, Green Apples Aromas: Aged Wine, Raw Honey, Toasted Nuts ABOUT US SHOP THE TEAM BLOG TERMS OF USE THE HANDCRAFTED PROMISE We at Handcrafted have",Yeast Fermented Natural Roast: Medium Flavour Notes: Plums
Handcrafted,Mooleh Maney Estate,850,₹,"The perfect coffee beans for those who enjoy fruity &amp; floral notes in their coffee. Moolay Maney Estate in Coorg, Karnataka grows some exceptional coffee beans that are both ethically sourced and of pristine quality.",https://www.cafehandcrafted.com/product-page/mooley-maney,"https://static.wixstatic.com/media/f620c7_ecb18c1e18c941519b1213e99998927d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Medium Flavour Notes: Mixed Berries,,"Mixed Berries, Caramalised Apples, Chocolate Aromas: Floral, Berry Preserves, Cloves ABOUT US SHOP THE TEAM BLOG TERMS OF USE THE HANDCRAFTED PROMISE",
Handcrafted,Handcrafted Flask,750,₹,"Take your coffee with you in this well insulated flask, that's also sleek enough to fit in all situations be it work, dates, morning runs, weddings, funerals, and anything possible!",https://www.cafehandcrafted.com/product-page/handcrafted-flask,"https://static.wixstatic.com/media/f620c7_65d5f54c390e478d98fe446eef1dfb9d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,,,,
Handcrafted,Big Black Mug,550,₹,"Make a statement with this mug! Let people ask, ""What' Handcrafted?"" and you say ""It's only the best coffee roastery to ever exist!"".",https://www.cafehandcrafted.com/product-page/big-black-mug,"https://static.wixstatic.com/media/f620c7_0de8cb1121b3490dbdea056da7fa5023~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,,,,
Handcrafted,Hario Buono Drip Kettle,4550,₹,An easy ot use stovetop kettle with a well shaped slim spout for an excellent pour and water control especially for pourovers.,https://www.cafehandcrafted.com/product-page/hario-buono-drip-kettle,"https://static.wixstatic.com/media/f620c7_6a9d6c07f48e4afab52a73c90aa51847~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,,,,
Handcrafted,Small Tabletop Scale,800,₹,"A simple, affordable and easy to use kitchen scale for all your brewing needs!",https://www.cafehandcrafted.com/product-page/small-tabletop-scale,"https://static.wixstatic.com/media/f620c7_87b25406e2094b448bdf49029d1cc044~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg",,,,,
Handcrafted,Time Scale,2020,₹,Digital scale with timer to help you improve your brewing skills with precision of weight and time!,https://www.cafehandcrafted.com/product-page/time-scale,"https://static.wixstatic.com/media/f620c7_4e709443730448ebbac6eda9852e2487~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,,,,
Handcrafted,French Press,1295,₹,"This double walled, stainless steel french press is all you need for a simple, effortless and perfect home brewed cup of coffee!",https://www.cafehandcrafted.com/product-page/french-press,"https://static.wixstatic.com/media/f620c7_51b52a81f8ad4a8ea1c7ebf1b06ff177~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg",,,,,
